# 26/05/2025 10:34:21 AM: Prices - EPEX Spot Market Auction - austria - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak"
27/05/2025,"99.7,86.53,76.75,,74.04,77.86,82.34,90.95,85.91,69.93,52.12,4.53,3.48,0.2,2.22,5.96,16.84,60.07,90.94,112.51,133.55,150.49,129.22,109.36,90.69,0.2,150.49,84.26,84.27,32.52,6.31,99.27,119.94,71.09,46.03,82.87,84.26,19.41,96.15,74.73,2.61,43.45,120.97,5.54"
26/05/2025,"88.8,81.04,76.74,,75.86,80.01,88.13,116.93,145.22,129.91,91.79,72.79,32.56,24.65,18.65,10.22,10.39,26.35,61.05,110.48,138.42,199.58,168.36,116.92,105.09,10.22,199.58,80.61,107.57,81.76,15.98,84.08,147.49,86.25,60.61,81.76,94.09,48.87,111.89,120.96,37.16,27,139.81,28.21"
25/05/2025,"75.02,62.03,26.24,,8.39,3.92,4.98,1.25,1.3,0.04,0.07,-0.86,-2.26,-2.76,-5.82,-8.09,-6.81,-2.19,4.25,50.35,93.54,112.17,113.57,104.95,96.29,-8.09,113.57,42.92,2.86,-0.75,-5.87,36.49,106.75,30.4,9.96,30.1,22.89,-3.31,50.84,0.67,-2.93,-3.21,95.15,-4.43"
24/05/2025,"107.3,97.78,93,,87.85,85.81,83.13,83.46,78.03,62.51,12.26,-0.01,0,0.08,0.08,0.27,-0.96,1.72,54.16,90.01,118.77,138.44,124.99,104.12,92.94,-0.96,138.44,96.48,82.61,18.69,-0.13,66.17,115.12,63.16,28.24,92.48,89.55,9.28,98.07,59.07,0.04,13.8,111.55,-0.09"
23/05/2025,"106.95,100.81,93.88,,93.62,97.9,110.54,134.9,135.31,114.98,84.43,72.04,61.31,13.44,17.83,20,64.98,83.96,86.74,112.67,138.9,154.93,149.76,129.92,112.48,13.44,154.93,98.82,119.66,83.19,29.06,105.57,136.77,95.51,72.61,100.62,109.24,56.13,118.42,117.41,41.16,63.92,133.11,41.6"
22/05/2025,"105.94,95.07,90.86,,92.04,91.67,98.51,116.42,124.91,104.95,99.55,92.89,88.25,90,81.26,84.62,95.73,98.96,100.02,100.68,123.28,139.27,136.9,122.35,109.64,81.26,139.27,95.98,107.88,96.41,87.9,105.74,127.04,103.49,96.68,95.68,101.93,92.16,110.3,111.46,88.1,94.83,122.02,88.79"
21/05/2025,"107.93,102.33,97.9,,94.9,93.7,102.49,112.48,116.54,107.82,84.82,42.22,0.15,-0.1,-2.2,-1.53,-0.01,2.06,49.08,86.32,100.1,114.35,110.27,100.72,90,-2.2,116.54,100.77,106.3,58.75,-0.96,59.39,103.84,71.35,39.06,99.88,103.53,28.9,103.63,105.42,10.02,12.4,100.29,6.42"
20/05/2025,"116.99,109.96,106.16,,106.36,109.14,118.96,145.56,135.27,98.14,85.56,64.38,16.01,5.49,9.93,10.55,28.29,70.05,102.56,112.33,130.18,150.61,134.56,114.73,111.95,5.49,150.61,109.87,127.23,66.02,13.57,103.78,127.96,91.41,61.12,111.26,118.55,39.79,121.69,116.13,23.95,52.86,125.73,22.44"
19/05/2025,"113.12,106.93,99.91,,96.72,99.48,109.39,128.92,131.38,109.11,96.81,72.01,29.06,12.77,5,8,29.27,71.3,98.16,114.49,143.75,215.41,149.98,129.65,115.07,5,215.41,104.17,117.29,76.75,13.76,106.93,152.53,95.24,65.81,104.26,110.73,45.25,124.66,116.56,29.71,51.68,144.73,26.02"
18/05/2025,"107.91,102.84,99.97,,98.78,99.67,99.43,92.42,88.23,63.04,8.36,0,-0.2,-2,-7.37,-15,-8.97,-0.2,28.69,91.1,110.04,119.94,133.08,120.65,105.95,-15,133.08,102.38,94.94,17.8,-8.34,57.41,119.91,64.02,22.29,101.43,98.66,4.73,105.74,63.01,-2.39,1.13,113.46,-5.59"
17/05/2025,"94.63,94.62,89.58,,90.05,91.44,96.54,93.04,90.62,60.97,0.78,-0.08,-5.95,-4.62,-10.45,-11.75,-5.87,-7.9,-9.9,66.28,99.96,108.96,119.99,110.06,106.96,-11.75,119.99,92.22,92.91,13.93,-8.17,37.11,111.49,56.58,14.29,92.81,92.57,2.88,98.87,61.35,-5.28,-8.86,102.04,-6.45"
16/05/2025,"93.01,90.6,88.13,,87.07,90.94,97.05,109.11,114.56,103.31,77.59,36.47,7.5,0,-8.01,-3.43,22.07,16.5,77.38,104.95,124.22,137.91,132.05,116.92,101.77,-8.01,137.91,89.7,102.92,56.22,2.66,80.76,122.16,75.74,46.55,91.13,96.31,29.44,104.93,101.14,8.99,28.13,119.64,9.1"
15/05/2025,"95.39,86.96,88.03,,87.26,89.87,98.94,115.1,119.23,99.07,69.34,11.89,7.19,7.52,11.69,13.1,40.75,70,70.03,85.2,105.92,115.47,122.01,107.92,98.96,7.19,122.01,89.41,105.79,46.87,18.27,82.79,111.09,75.7,49.31,91.08,97.6,32.57,102.1,100.69,9.57,48.47,105.91,15.36"
14/05/2025,"103.91,99.16,97.07,,97.01,100.33,106.28,128.09,121.49,99.71,73.01,0.15,-1.67,-24.64,-39.02,-41.46,-12.79,5.41,69.9,102.59,114.86,107.96,119.93,107.76,98.99,-41.46,128.09,99.29,114.05,42.8,-29.48,73.19,108.66,68.08,28.84,100.63,106.67,6.66,107.33,105.58,-16.3,5.27,108.68,-19.91"
13/05/2025,"88.05,88.73,90.21,,96.69,100,104,136.18,128.33,100.42,82.31,16.35,7.9,-2.74,-9.96,-12.65,-6.34,-6.51,71.29,106.76,134.1,177.09,144.05,108.35,100.95,-12.65,177.09,90.92,117.13,51.75,-7.92,76.41,132.61,76.82,40.08,94.61,104.02,21.91,113.55,111.81,2.89,11.45,128.55,-1.24"
12/05/2025,"89.52,84.6,84.15,,84.78,88.21,98.92,132.58,140.98,103.9,69.74,5.88,-1.99,-5.26,-11.11,-20.94,6.21,62.93,72.58,100.98,124.06,117.16,103.92,99.95,90.49,-20.94,140.98,85.76,115.17,44.38,-7.78,90.14,102.88,71.76,42.25,88.36,100.47,18.3,101.27,111.8,-3.12,30.2,106.09,-4.54"
11/05/2025,"99.82,98.99,97.43,,98.99,99.01,98.93,91.54,68.06,4.96,-0.1,-12.64,-59.11,-221.52,-252.6,-252.58,-117.74,-22.57,-0.01,75.14,98.98,104,117.19,103.96,90.69,-252.6,117.19,98.81,89.39,-16.72,-211.11,37.89,103.96,17.03,-63.32,98.86,94.1,-113.92,97.38,41.12,-136.47,-98.23,98.33,-152.7"
10/05/2025,"98,106.27,102.05,,96.34,100.24,100.17,97.31,91.77,70.06,9.32,-0.09,-23.98,-57.82,-113.47,-114.97,-50.15,-6.87,50.07,97.42,126.7,129.92,117.93,110.9,95.99,-114.97,129.92,100.67,97.37,13.83,-84.1,66.83,113.69,51.38,-1.15,100.51,99.02,-35.14,103.91,67.12,-48.84,-30.48,113.14,-60.08"
09/05/2025,"100.76,100.5,97.53,,98.84,99.4,107.42,125.06,128.77,92.23,85.32,54.76,4.24,2.1,0.12,0.01,8.64,67.27,86.77,82.07,105.65,130,116.88,100.37,97.98,0.01,130,99.41,115.16,59.14,2.72,85.44,111.31,78.86,49.1,100.74,107.29,30.93,108.63,107.85,15.31,40.67,105.49,11.65"
08/05/2025,"99.93,95.56,95.44,,97.84,95.58,108.91,123.73,135.2,119.92,105.93,92.94,80.75,68.06,67.42,74.23,84.02,90.78,93.35,116.66,137.97,151,123.99,117.99,110.1,67.42,151,97.19,115.86,99.89,73.43,109.69,125.77,103.64,94.34,98.88,106.52,86.66,112.94,121.2,77.29,85.6,126.29,77.9"
07/05/2025,"97.1,91.41,89.36,,91.5,92.3,100.01,124.95,140.04,119.97,85.07,74.19,70.3,62.48,60.66,66.09,73.81,81.29,102.73,114.1,134.92,133.4,120.49,111.45,100.01,60.66,140.04,92.34,114.33,87.38,65.76,108.26,116.34,97.4,87.13,93.61,103.33,76.57,107.67,117.51,66.91,80.98,119.06,67.92"
06/05/2025,"84.08,77.76,74.26,,73.19,82.31,93.71,110.62,116.49,107.95,84.81,77.4,66.1,66.03,65,64.9,66.02,72.37,93.2,110.54,128.06,150.28,127.09,108.74,99.93,64.9,150.28,77.32,100.78,84.07,65.49,101.04,121.51,91.7,83.53,80.89,89.05,74.78,99.87,104.97,68.63,74.12,120.77,67.58"
05/05/2025,"68.29,72.05,64.07,,66.06,68.73,88.77,104.91,126.83,111.25,97.17,91.51,72.61,65,62.06,62.09,69.8,90.59,97.09,107.93,138.94,114.97,117.46,103,98.99,62.06,138.94,67.62,97.31,93.14,64.74,108.64,108.61,90.01,88.84,71.33,82.46,78.94,91.18,110.04,72.8,79.89,113.55,70.51"
04/05/2025,"61.81,46.07,32.28,,20.6,20.34,15.58,13.62,7.83,2.93,0,-0.01,-0.01,-0.02,-2,-5.01,-1.59,-0.01,10.63,84.31,99.6,108.74,104.97,99.41,90.24,-5.01,108.74,40.19,14.34,0.73,-2.16,48.63,100.84,33.76,15.74,32.78,27.27,-0.71,51.79,6.1,-0.51,1.01,97.88,-1.44"
03/05/2025,"99.95,95.68,94.06,,91.71,88.92,88.91,87.92,82.81,61.43,13.53,0.01,-0.01,-1.16,-3.04,-2.69,-0.03,0,29.65,70.5,78.37,88.97,86.97,80.53,65.91,-3.04,99.95,95.35,87.14,18.74,-1.73,44.63,80.6,54.12,20.55,93.21,91.25,8.51,87.7,61.42,-1.05,6.73,78.54,-1.15"
02/05/2025,"88.5,72.28,62.09,,61.94,66.31,77.22,87.97,78.78,58.02,10.18,0.85,-0.01,-0.8,-3,-4,-0.08,0.3,70.32,102.95,123.35,148.37,123.38,108.94,98.72,-4,148.37,71.2,77.57,17.26,-1.97,74.23,119.85,59.69,29.84,71.39,74.39,7.65,89.54,58.74,-0.74,16.64,117.62,-1.17"
01/05/2025,"99.97,94.21,92.4,,92.91,92.98,86.01,81.48,71.5,54.54,0,-3,-40.1,-77.37,-125.77,-118.05,-49.99,-5.17,36.75,97.68,129.32,163.14,119.99,99.9,86.35,-125.77,163.14,94.87,82.99,2.86,-92.8,64.65,117.35,44.99,-8.43,93.08,88.93,-44.97,98.4,51.88,-61.56,-34.12,116.06,-69.05"
30/04/2025,"95,90.09,89.47,,90,93.66,97.4,115,120.3,93.96,73.6,7.08,0,-1,-6.21,-3,-0.02,19.91,80.26,103.3,132.05,175.29,127.83,108.74,99.74,-6.21,175.29,91.14,106.59,43.66,-2.56,83.88,127.9,75.1,41.66,92.6,98.87,20.55,108.54,100.72,-0.03,24.29,124.49,-0.53"
29/04/2025,"92.48,88.38,83.66,,81.42,82.27,90.97,107,112.98,90.45,64.23,5.05,0,-0.76,-1.9,-1.68,-0.01,14.82,77.6,102,139.83,174.75,129.11,109.95,98.9,-1.9,174.75,86.49,98.31,39.93,-1.09,83.56,128.18,72.56,40.8,86.53,92.4,19.42,104.32,93.67,0.6,22.68,125.76,0.12"
28/04/2025,"93.67,88.1,83.67,,86.81,92.29,99.98,139.59,131.09,94.98,67.37,9.65,-0.01,-3.34,-5.9,-6.18,-1.54,2.01,72.36,102.31,149.9,187.08,128.83,106.06,96.92,-6.18,187.08,88.06,115.74,43,-4.24,81.65,129.72,75.65,40.13,90.75,101.9,19.38,111.17,108.26,0.1,16.66,128.52,-1.22"
27/04/2025,"70.08,61.35,58.05,,58.6,65.1,66.73,66.21,62.2,35.05,0.04,-3,-31.92,-85.96,-112.53,-107.38,-50.15,-5.17,18.35,93.97,110.33,123.6,108.65,99,94,-112.53,123.6,62.02,65.06,0.04,-89.01,54.37,106.31,33.13,-11.53,63.32,63.54,-44.48,77.8,40.88,-58.35,-36.09,104.93,-65.16"
26/04/2025,"97.68,94.55,93.92,,92.23,91.54,93.04,95.01,86.92,69.09,34.45,2.55,-0.01,-4.73,-12.51,-10.5,-2.08,-0.01,30.99,79.63,99.94,96.93,95.06,86.41,74.05,-12.51,99.94,94.6,91.63,26.52,-7.46,52.64,88.11,57.67,23.9,93.83,93.11,9.53,91.45,71.37,-3.68,4.6,88.67,-4.55"
25/04/2025,"91.34,83.05,82.23,,83.6,85.13,95.38,105.56,113.39,104.23,83.1,83.01,73.49,68.28,50.47,43.81,65.31,80.15,85.9,100.85,116.76,123.07,109.63,100.37,92.09,43.81,123.07,85.06,99.87,85.96,56.97,95.92,106.29,88.34,79.61,86.79,92.46,71.46,97.07,101.57,68.81,68.79,107.13,64.06"
24/04/2025,"95.84,90.13,88.44,,87.2,87.2,94.05,111.52,119.78,117.67,99.53,90.37,82.2,78.89,73.04,76.94,80.95,86.46,96.41,102.31,114.64,102.35,114.48,106.53,93.1,73.04,119.78,90.4,103.14,97.44,77.46,99.96,104.12,95.42,91.62,90.48,96.77,87.45,99.22,112.13,81.13,85.19,105.57,80.4"
23/04/2025,"107.93,100.28,96.84,,97.1,102.39,108.69,137.09,144.23,121.2,100.12,83.1,82.15,78.01,79.66,83.37,96.11,101.47,110.77,132.42,150,152.3,127.42,108.56,99.71,78.01,152.3,100.54,123.1,96.64,84.29,123.67,122,108.37,101.53,102.21,111.82,90.47,115.21,125.66,80.73,97.93,128.4,83.73"
22/04/2025,"97.09,89.63,88.38,,85.85,85.49,100,124.09,151.54,141.84,105.2,92.33,79.96,75.31,66.24,71.47,78.53,83.07,101.07,122.38,192.32,243.76,153.23,123.29,109.6,66.24,243.76,90.24,115.28,104.83,72.89,124.71,157.47,110.9,100.81,91.07,102.76,88.86,121,130.67,78.46,83.54,157.43,77.31"
21/04/2025,"106.94,99.75,94.76,,94.4,98.28,97.56,93.87,88.89,67.05,24.18,-18.58,-10.35,-37.98,-45.75,-8.04,8.85,44.11,78.05,99.94,120.93,138.67,132.1,122.77,106.48,-45.75,138.67,98.96,94.65,15.58,-20.73,85.76,125.01,66.54,26.87,98.62,96.81,-2.58,106.21,68.5,-28.17,30.74,120.15,-18.64"
20/04/2025,"102.61,98.68,95.59,,98.98,98.04,96,96.71,78.07,59.9,-3.72,-1.15,-52.27,-135.54,-132.83,-88.88,-9.93,0,64.08,106.99,112.84,138.58,129.56,121.4,111.24,-135.54,138.58,98.97,92.21,0.69,-91.8,70.98,125.2,49.37,-6.71,98.32,95.59,-45.55,105.46,57.74,-80.45,-8.68,120.1,-70.1"
19/04/2025,"94.47,84.25,88.84,,87.03,89.46,95.95,100.62,96.96,78.07,48.13,11.76,4.54,0,-2.47,-5.97,-0.72,0.2,66.48,105.75,132.75,136.64,131.46,109.96,100.91,-5.97,136.64,88.65,95.75,35.63,-2.29,76.3,119.74,68.96,36.54,90,92.2,16.67,101.38,80.95,3.46,15,119.58,1.19"
18/04/2025,"89.74,81.27,78,,77.81,79.38,78.8,80.9,85.08,85.7,86.51,88.94,88.95,80.56,69.98,66.09,68.28,78.07,93.55,109.24,127.36,136.76,119.71,107.94,100.45,66.09,136.76,81.71,81.04,87.53,71.23,102.06,116.22,89.96,86.94,80.83,81.37,79.38,92.99,84.55,82.11,76.5,116.91,77.13"
17/04/2025,"91.81,86.59,85.19,,84.47,86.25,92.4,110.38,123.44,115.91,69.1,29.18,2.36,-10.03,-0.31,0.01,70.06,89.9,101.98,115.9,131.47,125.56,113.82,98.9,96.92,-10.03,131.47,87.02,103.12,54.14,14.93,109.81,108.8,79.64,59.63,87.79,95.07,34.54,99.64,104.71,5.3,65.49,113.76,15.21"
16/04/2025,"89.91,85.04,85.19,,84.93,87.3,105.48,125.86,135.14,109.94,71.02,42.5,5.59,-1,-0.8,-2.57,0,61.59,95.97,118,151.75,153.28,122.4,110,98.59,-2.57,153.28,86.27,113.45,57.26,-1.09,106.83,121.07,80.63,54.33,89.64,99.86,28.09,106.93,110.49,11.57,38.75,125.67,7.29"
15/04/2025,"80.95,78.72,73.68,,71.34,73.63,83.84,99.98,111.77,110.93,106.66,100.98,99,100.92,95.53,85.23,95.24,96.28,96.3,111.78,141.82,150.09,116.15,106.69,99.99,71.34,150.09,76.17,92.31,104.39,94.23,111.55,118.23,99.48,103.39,77.03,84.24,99.31,95.57,107.34,99.11,93.26,121.09,96.15"
14/04/2025,"91.61,87.04,86.27,,86.63,89.51,104.16,123.6,152.03,143.7,110.25,100.06,87.47,82.42,78.18,71.56,81.2,97.01,102.95,125.62,165.43,150.03,107.33,88.77,81.52,71.56,165.43,87.89,117.33,110.37,78.34,122.75,106.91,103.93,103.82,90.87,102.61,94.36,104.04,132.4,87.03,88.18,119.78,83.48"
13/04/2025,"80.31,66.16,63.06,,63.09,63.05,64.11,63.01,27.75,12.87,8.43,0,-0.02,-5.28,-18.84,-25.38,-9.93,-0.01,63.07,104.99,119.39,121.44,98.49,107.13,98.98,-25.38,121.44,68.16,54.48,5.32,-14.86,71.86,106.51,48.58,20.77,66.63,61.32,-4.77,76.38,28.02,-6.04,6.94,108.4,-9.91"
12/04/2025,"112,108.7,104.91,,102.93,104.05,103.88,110.48,104.95,99.13,69.35,20.19,0,-7.6,-24.65,-30.64,-0.06,0.18,89.32,118.63,161.45,147.58,105.99,101.97,82.75,-30.64,161.45,107.14,105.84,47.17,-15.74,92.4,109.57,74.4,41.28,106.08,106.49,15.72,107.52,95.98,-3.02,14.7,119.73,-7.13"
11/04/2025,"81.68,79.16,69.77,,70.13,75.39,85.9,108.95,111.4,94.22,64.94,15.57,0.34,0,-0.13,-2.52,-0.04,20.06,80.05,104.41,117.12,148.13,118.54,116,110.79,-2.52,148.13,75.19,95.41,43.77,-0.67,80.41,123.37,69.58,41.17,77.01,85.3,21.55,97.99,94.88,3.95,24.39,119.17,2.2"
10/04/2025,"100.27,95.03,94.5,,93.83,97.21,104.97,140.19,174.9,137.75,104.29,88.05,70.36,40.28,2.55,0.09,2.34,65.47,80.87,106.8,157.1,160.09,118.05,102.89,85.76,0.09,174.9,95.91,129.32,100.11,11.32,102.56,116.7,92.65,71.33,97.64,112.61,55.71,113.97,139.28,50.31,37.19,121.78,33.95"
09/04/2025,"109.65,102,99.96,,100.3,101.47,116.72,164.01,175.56,131.56,102.62,85.34,65.08,15.69,21.11,54.74,76.73,82.14,109.42,124.26,148.9,150,122.17,113.66,108.11,15.69,175.56,102.98,139.44,96.15,42.07,116.18,123.49,103.38,84.8,105.02,121.21,69.11,121.97,143.44,46.81,80.76,127.85,53.12"
